Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
REZ2020-00025,74567,,"LOMOND VILLAGE - TO REZONE 14.28 ACRES FROM B-1, GENERAL BUSINESS, TO PMR, PLANNED MIXED RESIDENTIAL, WITH ASSOCIATED DEVELOPMENT WAIVERS AND MODIFICATIONS, FOR A MIXED-USE COMMUNITY, TO INCLUDE UP TO 157 RESIDENTIAL UNITS (TOWNHOUSE AND MULTI-FAMILY) AND COMMERCIAL USES.  THE SUBJECT PROPERTY IS LOCATED APPROXIMATELY 430 FEET EAST OF THE INTERSECTION OF LOMOND DRIVE AND SUDLEY ROAD, AND NORTHWEST OF THE TERMINUS OF WILLIAMSON BOULEVARD.  THE SITE IS CURRENTLY ADDRESSED AS 10365 LOMOND DRIVE AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7696-59-5541.  THE SITE IS ZONED B-1, GENERAL BUSINESS, WITHOUT PROFFERS; AND IS CURRENTLY DESIGNATED GC, GENERAL COMMERCIAL, IN THE COMPREHENSIVE PLAN.  (CONCURRENTLY PROCESSED WITH #CPA2020-00012, PENDING INITIATION.)  BRENTSVILLE MAGISTERIAL DISTRICT",B-1,PMR,14.28,,,,157,,
REZ2021-00003,,,"JOHN MARSHALL COMMONS TECH PARK - THIS IS A REQUEST TO REZONE 22.72 ACRES FROM B-1, GENERAL BUSINESS, AND M-2, LIGHT INDUSTRIAL TO, O(M), OFFICE MID-RISE, FOR THE PURPOSE OF DEVELOPING A DATA CENTER CAMPUS. THERE IS A CONCURRENT SUP REQUEST IS TO ALLOW FOR A DATA CENTER USE, SUBJECT TO THE APPROVAL OF THE REZONING APPLICATION.  THE SUBJECT PROPERTY IS LOCATED TO THE SOUTH OF INTERSTATE 66, AT THE NORTHWESTERN INTERSECTION OF CATHARPIN ROAD AND JOHN MARSHALL HIGHWAY (ROUTE 55); AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7397-36-8980, 7397-46-4050, 7397-46-4281, AND 7397-47-7731.  THE 22.72-ACRE SITE IS CURRENTLY ZONED B-1, GENERAL BUSINESS, AND M-2, LIGHT INDUSTRIAL; IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE I-66 / ROUTE 29 SECTOR PLAN SPECIAL PLANNING AREA, AND LOCATED PARTIALLY WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT.  GAINESVILLE MAGISTERIAL DISTRICT.","B-1, M-2",O(M),22.72,,,,,,
REZ2021-00004,74748,,"CONGRESSIONAL STORAGE - THIS IS A REQUEST TO REZONE AN APPROXIMATELY 0.345-ACRE PORTION OF THE SUBJECT PROPERTY CURRENTLY ADDRESSED 10615 DUMFRIES ROAD, AND IDENTIFIED ON COUNTY MAPS AS GPIN 7794-78-2053(PT.), FROM A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS.  THIS APPLICATION IS BEING CONCURRENTLY PROCESSED WITH A SPECIAL USE PERMIT (SUP2021-00007) REQUEST TO ALLOW A SELF-STORAGE CENTER AND INTERIM COMMERCIAL PARKING USE.  THE SUP AREA INCLUDES 2.473-ACRES AND IS LOCATED AT 10613 AND 10615 DUMFRIES ROAD, AND IDENTIFIED ON COUNTY MAPS AS GPINS 7794-78-1662 AND 7794-78-2053.  THE SUBJECT AREA IS ZONED B-1, GENERAL BUSINESS, AND A-1, AGRICULTURAL; IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE ROUTE 234 (DUMFRIES ROAD) HIGHWAY CORRIDOR OVERLAY DISTRICT, AIRPORT SAFETY OVERLAY DISTRICT, AND IS SUBJECT TO PROFFERS PURSUANT TO REZ2011-000268.  COLES MAGISTERIAL DISTRICT.",A-1,B-1,0.345,,,,,,
REZ2021-00005,74398,,"UNIVERSITY VILLAGE AT INNOVATION - TO REZONE 24.19 ACRES FROM PBD, PLANNED BUSINESS DISTRICT, AND A-1, AGRICULTURAL, TO PMD, PLANNED MIXED USE DISTRICT, TO ALLOW A MIXED-USE DEVELOPMENT CONSISTING OF 1,630 MULTIFAMILY UNITS (INCLUDING1,480 STUDENT HOUSING UNITS) AND 1,625,000 SQ. FT. OF NONRESIDENTIAL USES (OFFICE, RETAIL AND HOTEL) AND ASSOCIATED WAIVERS AND MODIFICATIONS, INCLUDING BUILDING HEIGHT AND FLOOR AREA RATIO INCREASES.  THE APPLICATION ALSO INCLUDES A REQUEST TO RELEASE THE SUBJECT SITE FROM THE DECLARATION FOR THE PROPERTY OF THE PRINCE WILLIAM BOARD OF COUNTY SUPERVISORS AT INNOVATION AT PRINCE WILLIAM COUNTY. THE PROPERTY IS LOCATED ON THE NORTH SIDE OF UNIVERSITY BLVD, BETWEEN PRINCE WILLIAM PKWY (ROUTE 234 BY-PASS) AND CANNON CREEK LN; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7696-00-5505, AND 7596-92-6825(PART). THE SITE IS DESIGNATED TC, TOWN CENTER, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE INNOVATION PARK SMALL AREA PLAN.  THE SITE IS CURRENTLY ZONED A-1 AND PBD; IS ALSO LOCATED WITHIN THE TECHNOLOGY OVERLAY DISTRICT (TEOD); AND THE AIRPORT SAFETY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT","PBD, A-1",PMD,24.19,,,1630,,,
REZ2021-00006,,,"BRISTOW PLAZA - THIS IS A REQUEST TO REZONE 7.72 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, AND WITH ASSOCIATED DEVELOPMENT WAIVERS AND MODIFICATIONS, TO ALLOW FOR A MIXED USE DEVELOPMENT TO BE KNOWN AS BRISTOW PLAZA.  THE SUBJECT PROPERTY IS LOCATED AT THE NORTHWEST INTERSECTION OF NOKESVILLE ROAD (RT. 28) AND VINT HILL ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7594-28-8497 AND 7594-38-1791.  THE SITE IS DESIGNATED MU-3, NEIGHBORHOOD MIXED USE, AND IS LOCATED WITHIN THE BRISTOW ACTIVITY CENTER IN THE COMPREHENSIVE PLAN.  THE PROJECT AREA IS PARTIALLY LOCATED WITHIN THE NOKESVILLE ROAD (ROUTE 28) HIGHWAY CORRIDOR OVERLAY DISTRICT, AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT AND AGRITOURISM AND ARTS OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,PMR,7.72,,,,,,
REZ2021-00007,74302,,"WELLINGTON COMMERCE CENTER - TO REZONE 6.24 ACRES FROM A-1, AGRICULTURAL, TO M-1, HEAVY INDUSTRIAL, FOR INDUSTRIAL USES.  THE SUBJECT PROPERTY IS LOCATED 0.17 MILES SOUTH OF THE WELLINGTON ROAD AND UNIVERSITY BLVD. INTERSECTION, IS CURRENTLY ADDRESSED AS 5780 WELLINGTON ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7497-21-1386.  THE SITE IS DESIGNATED EI INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT, AND DATA CENTER OPPORTUNITY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,M-1,6.24,,,,,,
REZ2021-00008,343,,"WINDSOR OAKS - TO REZONE 9.77 ACRES FROM O(M), OFFICE MID-RISE, TO PMR, PLANNED MIXED RESIDENTIAL, TO DEVELOP A MIXED-USE COMMUNITY, CONSISTING OF UP TO 160 MULTI-FAMILY RESIDENTIAL UNITS AND 25,000 SQUARE FEET OF COMMERCIAL/RETAIL USES, AND WITH ASSOCIATED WAIVERS AND MODIFICATIONS.  THE SUBJECT PROPERTY IS LOCATED AT THE NORTHEAST INTERSECTION OF ELM FARM ROAD AND PRINCE WILLIAM PARKWAY, IS CURRENTLY ADDRESSED AS 3695 ELM FARM ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 8192-95-1352.  THE SITE IS CURRENTLY ZONED O(M), OFFICE MID-RISE; IS DESIGNATED NMU, NEIGHBORHOOD MIXED-USE, AND O, OFFICE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE PARKWAY NODE OF THE DALE CITY SMALL AREA PLAN.  THE SITE IS ALSO LOCATED IN THE PRINCE WILLIAM PARKWAY AND MINNIEVILLE ROAD (DAVIS FORD ROAD) HIGHWAY CORRIDOR OVERLAY DISTRICTS.  OCCOQUAN MAGISTERIAL DISTRICT",O(M),PMR,9.77,,,160,,,
REZ2021-00009,74930,,"LAKE POINTE RESIDENTIAL - TO REZONE 15.52 ACRES FROM B-1, GENERAL BUSINESS, TO PMR, PLANNED MIXED RESIDENTIAL, WITH ASSOCIATED WAIVERS AND MODIFICATIONS, INCLUDING A SIGN MODIFICATION, TO ALLOW THE DEVELOPMENT OF UP TO 355 MULTI-FAMILY UNITS.  THE SUBJECT PROPERTY IS LOCATED NORTHEAST OF CATON HILL RD. AND KILLARNEY DR., AND APPROXIMATELY 380 FEET NORTHWEST OF THE INTERSECTION OF CATON HILL RD. AND TELEGRAPH RD.  THE SITE IS CURRENTLY ADDRESSED AS 2526 AND 2580 CATON HILL RD., AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 8292-75-8519 AND 8292-84-1372.00.  THE SITE IS ZONED B-1, GENERAL BUSINESS, WITH PROFFERS; AND IS CURRENTLY DESIGNATED TC, TOWN CENTER, AND POSP, PARKS AND OPEN SPACE, IN THE COMPREHENSIVE PLAN, AND LOCATED WITHIN THE LANDING AT PRINCE WILLIAM SMALL AREA PLAN. OCCOQUAN MAGISTERIAL DISTRICT",B-1,PMR,15.52,,,355,,,
REZ2021-00010,,,"OLD CAROLINA OVERLOOK - TO REZONE 15.92 ACRES FROM A-1, AGRICULTURAL, TO SR-1, SEMI RURAL RESIDENTIAL, TO ALLOW THE DEVELOPMENT OF UP TO 12 SINGLE-FAMILY RESIDENCES.   THE SUBJECT PROPERTY IS LOCATED APPROXIMATELY 230 FEET SOUTH OF THE INTERSECTION OF OLD CAROLINA ROAD AND MERCURY LANE; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7297-55-9404 AND 7297-65-2922.  THE SITE IS DESIGNATED SRR, SEMI-RURAL RESIDENTIAL IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE ROUTE 29 SMALL AREA PLAN.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,SR-1,15.92,12,,,,,
REZ2021-00011,74379,,"YOLA LANE CORRECTIVE REZONING - TO REZONE 10.5152-ACRE PARCELS FROM A-1, AGRICULTURAL TO SR-5, SEMI-RURAL RESIDENTIAL, TO ALLOW FOR THE EXISTING SINGLE-FAMILY HOMES ON THE PROPERTIES TO REMAIN. THE SITES ARE ADDRESSED AS 7281 AND 7278 YOLA LANE; IS LOCATED APPROXIMATELY 935 FEET NORTHWEST FROM THE INTERSECTION OF YOLA LANE AND MARIAN DRIVE; AND IS DESIGNATED SRR, SEMI RURAL RESIDENTIAL, AND ER, ENVIRONMENTAL RESOURCE IN THE COMPREHENSIVE PLAN. THE PROPERTIES ARE IDENTIFIED ON COUNTY MAPS AS GPINS 7895-94-9139 AND 7995-04-3443. THE SUBJECT SITE IS LOCATED WITHIN DOMESTIC FOWL OVERLAY DISTRICT.  OCCOQUAN MAGISTERIAL DISTRICT.",A-1,SR-5,10.52,0,,,,,
REZ2021-00012,74399,,"PARK LANDING - THIS IS A REQUEST TO REZONE 9.76 ACRES FROM PBD, PLANNED BUSINESS DISTRICT, TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF UP TO 250 AGE RESTRICTED MULTI-FAMILY DWELLING UNITS WITH A BUILDING HEIGHT MODIFICATION, AND ASSOCIATED WAIVERS AND MODIFICATIONS.  THE SUBJECT PROPERTY IS LOCATED ON A VACANT PAD SITE AT THE SOUTHEASTERN INTERSECTION OF GOLANSKY BOULEVARD AND NOBLE POND WAY.  THE SITE IS CURRENTLY ADDRESSED AS 3301 NOBLE POND WAY AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 8292-21-7346.  THE SITE IS DESIGNATED HDN, HIGH DENSITY NEIGHBORHOOD; AND WITH SMALL PERIPHERAL EASTERN PORTIONS BEING DESIGNATED AS POSP, PARKS AND OPEN SPACE PASSIVE, AND NMU, NEIGHBORHOOD MIXED USE, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE PARKWAY NODE OF THE DALE CITY SMALL AREA PLAN; AND IS ALSO PARTIALLY LOCATED IN THE PRINCE WILLIAM PARKWAY HIGHWAY CORRIDOR OVERLAY DISTRICT.  OCCOQUAN MAGISTERIAL DISTRICT",PBD,PMR,9.76,,,,,,250
REZ2021-00014,74878,,"WELLINGTON GLEN PARCEL K - TO REZONE 40.4 ACRES FROM PMD, PLANNED MIXED DISTRICT, TO PBD, PLANNED BUSINESS DISTRICT, WITH ASSOCIATED DEVELOPMENT WAIVERS AND MODIFICATIONS, TO INCLUDE USE MODIFICATIONS TO ALLOW HEAVY INDUSTRIAL USES, AMONG OTHER CHANGES.  THE SUBJECT PROPERTY, INCLUDING RIGHT-OF-WAY, IS LOCATED ON THE WEST SIDE OF HORNBAKER ROAD AND SOUTH OF ITS INTERSECTION WITH WELLINGTON ROAD.  THE SUBJECT SITE ENCOMPASSES LAY BAY K, IS CURRENTLY ADDRESSED AS 8870 HORNBAKER ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7596-61-9286.  THE SITE IS CURRENTLY ZONED PMD, PLANNED MIXED DISTRICT; IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY ZONE OVERLAY DISTRICT AND AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",PMD,PBD,40.4,,,,,,
REZ2021-00015,74561,,"CONTRACTORS COURT - TO REZONE 6.2139 ACRES FROM M-1, HEAVY INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION.  THE SUBJECT PROPERTY IS LOCATED 1,500 FEET SOUTHEAST OF THE INTERSECTION/CUL-DE-SAC OF INDUSTRIAL RD., AND CONTRACTORS CT.; IT IS ADDRESSED AS 9515 CONTRACTORS CT., AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7595-56-7123.  THE SITE IS ZONED M-1, HEAVY INDUSTRIAL, AND IT IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, AND ER, ENVIRONMENTAL RESOURCE IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT, AND AIRPORT SAFETY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT",M-1,M/T,6.2,,,,,,
REZ2021-00016,74575,,"BROAD RUN INDUSTRIAL PARK LOT 1A - TO REZONE 2.43 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION.  THE SUBJECT PROPERTY IS LOCATED ON THE NORTH SIDE OF INDUSTRIAL RD., 2,000 FT. WEST OF ITS INTERSECTION WITH HORNBAKER RD.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7595-69-2101 THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",M-2,M/T,2.43,,,,,,
REZ2021-00018,1472,,"HUDSON LIMITED PARTNERSHIP - TO REZONE 8.5104 ACRES FROM A-1, AGRICULTURAL AND M-2, LIGHT INDUSTRIAL, TO M-2, LIGHT INDUSTRIAL WITH ASSOCIATED WAIVERS AND MODIFICATIONS.  THE SUBJECT PROPERTY IS LOCATED ALONG THE NORTH SIDE OF WELLINGTON RD., AT THE INTERSECTION OF FREEDOM CENTER BLVD. AND WELLINGTON RD., AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7696-32-8070 AND 7696-42-2354.  THE SITE IS DESIGNATED TECHNOLOGY/FLEX AS PART OF THE INNOVATION SMALL AREA PLAN IN THE COMPREHENSIVE PLAN. THE PROPERTY IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY, TECHNOLOGY OVERLAY AND THE AIRPORT SAFETY OVERLAY DISTRICTS.  BRENTSVILLE MAGISTERIAL DISTRICT","A-1, M-2",M-2,8.5,,,,,,
REZ2021-00019,,1,"COMPTON PROPERTY REZONING - THIS IS A REQUEST TO REZONE 77.014 ACRES FROM A-1, AGRICULTURAL TO PBD, PLANNED BUSINESS DISTRICT, AND TO REZONE 0.902 ACRES FROM B-1 GENERAL BUSINESS TO PBD, PLANNED BUSINESS DISTRICT, FOR THE PURPOSE OF DEVELOPING A DATA CENTER AND AN ELECTRICAL SUBSTATION CAMPUS.  THERE IS A CONCURRENT SUP REQUEST TO ALLOW FOR THE DATA CENTER USE AND THE ELECTRICAL SUBSTATION OUTSIDE THE DATA CENTER OVERLAY DISTRICT, SUBJECT TO THE APPROVAL OF THE REZONING APPLICATION. AS PART OF THE REQUEST THE APPLICANT IS SEEKING A MODIFICATION TO THE BUILDING HEIGHT TO PERMIT A MAX BUILDING HEIGHT OF 75 FEET. THE SUBJECT PROPERTY IS LOCATED APPROXIMATELY 2/3-MILE NORTHWEST OF THE INTERSECTION OF GODWIN DR. AND SUDLEY RD.; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7696-56-8064, 7696-56-3095 AND 7696-47-4559.  THE SITE IS DESIGNATED GC, GENERAL COMMERCIAL AND SRM, SUBURBAN RESIDENTIAL MEDIUM, IN THE COMPREHENSIVE PLAN.  THERE IS ALSO A PROPOSED COMPREHENSIVE PLAN AMENDMENT TO CHANGE THE DESIGNATION TO FEC, FLEXIBLE EMPLOYMENT CENTER WHICH IS BEING REVIEWED UNDER CPA2021-00005; BRENTSVILLE MAGISTERIAL DISTRICT.",A-1,PBD,77.01,,,,,,
REZ2021-00019,,2,"COMPTON PROPERTY REZONING - THIS IS A REQUEST TO REZONE 77.014 ACRES FROM A-1, AGRICULTURAL TO PBD, PLANNED BUSINESS DISTRICT, AND TO REZONE 0.902 ACRES FROM B-1 GENERAL BUSINESS TO PBD, PLANNED BUSINESS DISTRICT, FOR THE PURPOSE OF DEVELOPING A DATA CENTER AND AN ELECTRICAL SUBSTATION CAMPUS.  THERE IS A CONCURRENT SUP REQUEST TO ALLOW FOR THE DATA CENTER USE AND THE ELECTRICAL SUBSTATION OUTSIDE THE DATA CENTER OVERLAY DISTRICT, SUBJECT TO THE APPROVAL OF THE REZONING APPLICATION. AS PART OF THE REQUEST THE APPLICANT IS SEEKING A MODIFICATION TO THE BUILDING HEIGHT TO PERMIT A MAX BUILDING HEIGHT OF 75 FEET. THE SUBJECT PROPERTY IS LOCATED APPROXIMATELY 2/3-MILE NORTHWEST OF THE INTERSECTION OF GODWIN DR. AND SUDLEY RD.; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7696-56-8064, 7696-56-3095 AND 7696-47-4559.  THE SITE IS DESIGNATED GC, GENERAL COMMERCIAL AND SRM, SUBURBAN RESIDENTIAL MEDIUM, IN THE COMPREHENSIVE PLAN.  THERE IS ALSO A PROPOSED COMPREHENSIVE PLAN AMENDMENT TO CHANGE THE DESIGNATION TO FEC, FLEXIBLE EMPLOYMENT CENTER WHICH IS BEING REVIEWED UNDER CPA2021-00005; BRENTSVILLE MAGISTERIAL DISTRICT.",B-1,PBD,0.902,,,,,,
REZ2021-00020,75409,,"JOHN MARSHALL VILLAGE ADDITION - THIS IS A REQUEST TO REZONE THE SUBJECT AREA FROM A-1, AGRICULTURAL TO V, VILLAGE, TO ALLOW FOR THE DEVELOPMENT OF 18 TWO-OVER-TWO MULTI-FAMILY RESIDENTIAL UNITS. IT IS CONCURRENTLY BEING PROCESSED WITH A SPECIAL USE PERMIT TO ALLOW MULTI-FAMILY DWELLINGS ON LOTS IN EXCESS OF 1 ACRE. THE SUBJECT AREA IS LOCATED AT THE APPROXIMATELY 325 FT. EAST OF THE INTERSECTION OF ROUTE 55 AND PIEDMONT CENTER PLACE. THE PARCEL IS IDENTIFIED ON COUNTY MAPS AS GPIN 7397-28-3631 AND IS ADDRESSED 14514 JOHN MARSHALL HIGHWAY, AND IS DESIGNATED VMU, VILLAGE MIXED USE, IN THE COMPREHENSIVE PLAN AND LOCATED IN THE I-66/ROUTE 29 SECTOR PLAN. GAINESVILLE MAGISTERIAL DISTRICT",A-1,V,,,,18,,,
REZ2021-00022,75419,,KH DATA CAPITAL DEVELOPMENT - TO REZONE FROM M-2 WITHOUT PROFFERS TO M-2 WITH PROFFERS FOR DATA CENTER AND ASSOCIATED MODIFICATIONS TO INCREASE THE PERMITTED MAXIMUM FAR TO ALLOW FOR THE MAXIMUM GFA AND HEIGHT MODIFICATION TO PERMIT DATA CENTERS ON THE PROPERTY TO A BE A MAXIMUM OF 70FT. THERE IS ALSO A PUBLIC FACILITIES REVIEW TAKING PLACE ON THIS PROPERTY WHICH IS BEING REVIEWED UNDER PFR#2021-00026.,M-2,M-2,,,,,,,
REZ2021-00024,74775,,"USA SELF-STORAGE AT OLD DOMINION DRIVE; THIS IS A REQUEST TO REZONE 0.81 ACRES FROM A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS.  THERE IS A CONCURRENT REQUEST FOR A SPECIAL USE PERMIT TO ALLOW A SELF-STORAGE CENTER WITH AN INCREASE IN FLOOR AREA RATIO (FAR) ON 2.66 ACRES.",A-1,B-1,0.81,,,,,,
REZ2022-00001,,,"BELMONT BAY PRA - THIS IS A REQUEST TO AMEND THE PROFFERS ASSOCIATED WITH REZONING #REZ1999-0022 TO AMEND THE LAND BAY DESIGNATIONS ASSOCIATED WITH THE EXISTING PMD, PLANNED MIXED USE DISTRICT TO BE IN ALIGNMENT WITH THE NORTH WOODBRIDGE SMALL AREA PLAN. THE SUBJECT PROPERTY OF THE PROFFER AMENDMENT IS  170.91 ACRES AND CONSISTS OF GPINS 8492-43-5597, 8492-44-0370, 8492-44-5722, 8492-44-1022, 8492-53-7716, 8492-32-4965, 8492-34-3596, 8492-33-1450, 8492-04-7238, 8492-04-4258, 8492-05-6910, 8492-06-9238 AND 8492-25-9095 AND THE PROPERTY IS ZONED PMD, PLANNED MIXED USE DISTRICT.  THE APPLICANT IS PROPOSING TO CONVERT 411 PREVIOUSLY APPROVED AGE-RESTRICTED RESIDENTIAL UNITS TO MARKET RATE UNITS AND ADD 979 RESIDENTIAL UNITS.  IN ADDITION, THE APPLICANT IS PROPOSING TO PROVIDE TWO MIXED-USE COMMERCIAL DISTRICTS  THE TRANSIT DISTRICT AND THE MARINA DISTRICT. THIS APPLICATION IS ALSO PROPOSING A REDUCTION IN THE APPROVED COMMERCIAL USES TO 65,000 SQ. FT. OF NONRESIDENTIAL USES OF COMMERCIAL, EXCLUSIVE OF A POTENTIAL HOTEL AND A CONTINUING CARE RETIREMENT COMMUNITY.  ASSOCIATED WITH THE REQUEST ARE NUMEROUS WAIVERS AND MODIFICATIONS. THE SPECIAL USE PERMIT IS AMENDING SUP1999-0014 FOR 27.04 ACRES CONSISTING OF GPINS 8492-43-5597, 8492-44-0370, 8492-44-5722, 8492-44-1022 AND 8492-53-7716 TO SUPPORT THE TOWN CENTER OF THE DEVELOPMENT AND ASSOCIATED MODIFICATIONS AND WAIVERS.  THE SITE IS LOCATED EAST OF ROUTE 1 AND NORTHEAST OF THE INTERSECTION OF ROUTE 1 AND DAWSONS BEACH ROAD.  THE SITE IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, POSA, PARKS & OPEN SPACE ACTIVE, POSP, PARKS AND OPEN SPACE PASSIVE, AND UN, URBAN NEIGHBORHOOD IN THE COMPREHENSIVE PLAN AND IS LOCATED IN THE NORTH WOODBRIDGE SMALL ARE PLAN. WOODBRIDGE MAGISTERIAL DISTRICT",PMD,PMD,170.9,,,,1390,,-411
REZ2022-00002,74870,,"WILLIAMS PROPERTY - TO REZONE 36.13 ACRES FROM A-1, AGRICULTURAL, TO SR-1C, SEMI-RURAL RESIDENTIAL CLUSTER, TO ALLOW FOR THE DEVELOPMENT OF UP TO 25 SINGLE-FAMILY DETACHED DWELLING UNITS WITH ASSOCIATED OPEN SPACE.  THE SUBJECT PROPERTY IS LOCATED ALONG THE SOUTH SIDE OF ROUTE 15 (JAMES MADISON HIGHWAY) AT ITS INTERSECTION WITH SOMERSET CROSSING DRIVE, IS CURRENTLY ADDRESSED AS 6702 SOMERSET CROSSING DRIVE, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7297-27-9016.  THE SITE IS CURRENTLY ZONED A-1, AGRICULTURAL; IS DESIGNATED SRR, SEMI-RURAL RESIDENTIAL, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE I-66/ROUTE 29 SECTOR PLAN SPECIAL PLANNING AREA AND IS PARTIALLY LOCATED WITHIN THE JAMES MADISON HIGHWAY CORRIDOR OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,SR-1C,36.13,25,,,,,
REZ2022-00003,74935,,"JEFFERSON PLAZA REDEVELOPMENT - TO REZONE 7.83 ACRES FROM B-1, GENERAL BUSINESS DISTRICT, TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF 240 AFFORDABLE MULTI-FAMILY DWELLINGS.  THE SUBJECT PROPERTY IS LOCATED AT THE NORTHEAST QUADRANT OF MOUNT PLEASANT DRIVE AND JEFFERSON DAVIS HWY, IS CURRENTLY ADDRESSED AS 13801 MOUNT PLEASANT DRIVE, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 8392-82-6885.  THE SITE IS CURRENTLY ZONED B-1, GENERAL BUSINESS DISTRICT; IS DESIGNATED NMU, NEIGHBORHOOD MIXED-USE, AND RESOURCE PROTECTION AREA AND 100 AND 500 YEAR FLOOD PLAIN, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN NORTH WOODBRIDGE SMALL AREA PLAN AND POTOMAC COMMUNITIES AND REDEVELOPMENT OVERLAY DISTRICTS.  WOODBRIDGE MAGISTERIAL DISTRICT",B-1,PMR,7.83,,,240,,240,
REZ2022-00005,75421,,"HAYMARKET JUNCTION TOP SHINE CAR WASH - TO REZONE 0.56 ACRES FROM M-2, LIGHT INDUSTRIAL, TO B-1, GENERAL BUSINESS.  THIS IS BEING CONCURRENTLY PROCESSED WITH A SPECIAL USE PERMIT TO ALLOW A CAR WASH WITH SIGNAGE MODIFICATIONS. THE SUBJECT PROPERTY IS LOCATED 440 FEET SOUTHWEST OF THE INTERSECTION OF ROUTE 55 AND ROUTE 15; 335 FEET SOUTH OF THE INTERSECTION OF ROUTE 55 AND JOHN JAMES WAY; AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7298-61-3823 (PORTION). THE SITE IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN, AND IS LOCATED IN THE JAMES MADISON HIGHWAY CORRIDOR OVERLAY DISTRICT. GAINESVILLE MAGISTERIAL DISTRICT.",M-2,B-1,0.56,,,,,,
